exp_id,timestamp,model,domain,lora_rank,n_steps,replay_size,seed,subject,is_medical,accuracy,delta_acc,forgetting
L2SP_lam0p001,2026-05-25T12:40:54.151825,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,abstract_algebra,False,0.41,-0.19,0.19
L2SP_lam0p001,2026-05-25T12:40:54.153516,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,anatomy,True,0.7481481481481481,-0.014814814814814836,0.014814814814814836
L2SP_lam0p001,2026-05-25T12:40:54.154265,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,astronomy,False,0.881578947368421,-0.03947368421052633,0.03947368421052633
L2SP_lam0p001,2026-05-25T12:40:54.154996,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,business_ethics,False,0.76,-0.05999999999999994,0.05999999999999994
L2SP_lam0p001,2026-05-25T12:40:54.155719,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,clinical_knowledge,True,0.8188679245283019,-0.03396226415094339,0.03396226415094339
L2SP_lam0p001,2026-05-25T12:40:54.156418,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_biology,True,0.8958333333333334,-0.02777777777777779,0.02777777777777779
L2SP_lam0p001,2026-05-25T12:40:54.157131,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_chemistry,True,0.59,0.020000000000000018,-0.020000000000000018
L2SP_lam0p001,2026-05-25T12:40:54.157845,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_computer_science,False,0.66,-0.05999999999999994,0.05999999999999994
L2SP_lam0p001,2026-05-25T12:40:54.158547,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_mathematics,False,0.58,-0.040000000000000036,0.040000000000000036
L2SP_lam0p001,2026-05-25T12:40:54.159256,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_medicine,True,0.7283236994219653,-0.034682080924855474,0.034682080924855474
L2SP_lam0p001,2026-05-25T12:40:54.159961,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_physics,False,0.6470588235294118,-0.04901960784313719,0.04901960784313719
L2SP_lam0p001,2026-05-25T12:40:54.160659,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,computer_security,False,0.8,-0.029999999999999916,0.029999999999999916
L2SP_lam0p001,2026-05-25T12:40:54.161351,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,conceptual_physics,False,0.8638297872340426,-0.004255319148936176,0.004255319148936176
L2SP_lam0p001,2026-05-25T12:40:54.162048,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,econometrics,False,0.6842105263157895,0.00877192982456143,-0.00877192982456143
L2SP_lam0p001,2026-05-25T12:40:54.162748,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,electrical_engineering,False,0.7034482758620689,-0.12413793103448278,0.12413793103448278
L2SP_lam0p001,2026-05-25T12:40:54.163437,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,elementary_mathematics,False,0.656084656084656,-0.04761904761904767,0.04761904761904767
L2SP_lam0p001,2026-05-25T12:40:54.164137,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,formal_logic,False,0.6349206349206349,-0.04761904761904767,0.04761904761904767
L2SP_lam0p001,2026-05-25T12:40:54.164842,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,global_facts,False,0.39,-0.13,0.13
L2SP_lam0p001,2026-05-25T12:40:54.165522,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_biology,False,0.9161290322580645,-0.016129032258064502,0.016129032258064502
L2SP_lam0p001,2026-05-25T12:40:54.166224,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_chemistry,False,0.729064039408867,-0.059113300492610876,0.059113300492610876
L2SP_lam0p001,2026-05-25T12:40:54.166922,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_computer_science,False,0.84,0.0,-0.0
L2SP_lam0p001,2026-05-25T12:40:54.167609,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_european_history,False,0.7393939393939394,0.024242424242424176,-0.024242424242424176
L2SP_lam0p001,2026-05-25T12:40:54.168294,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_geography,False,0.8838383838383839,-0.005050505050504972,0.005050505050504972
L2SP_lam0p001,2026-05-25T12:40:54.168991,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_government_and_politics,False,0.9326424870466321,-0.015544041450777257,0.015544041450777257
L2SP_lam0p001,2026-05-25T12:40:54.169697,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_macroeconomics,False,0.8179487179487179,-0.033333333333333326,0.033333333333333326
L2SP_lam0p001,2026-05-25T12:40:54.170382,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_mathematics,False,0.45925925925925926,-0.09259259259259256,0.09259259259259256
L2SP_lam0p001,2026-05-25T12:40:54.171090,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_microeconomics,False,0.8907563025210085,-0.04201680672268904,0.04201680672268904
L2SP_lam0p001,2026-05-25T12:40:54.171783,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_physics,False,0.6887417218543046,-0.0066225165562914245,0.0066225165562914245
L2SP_lam0p001,2026-05-25T12:40:54.172469,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_psychology,False,0.9137614678899083,-0.020183486238532056,0.020183486238532056
L2SP_lam0p001,2026-05-25T12:40:54.173163,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_statistics,False,0.6851851851851852,-0.07870370370370361,0.07870370370370361
L2SP_lam0p001,2026-05-25T12:40:54.173866,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_us_history,False,0.8529411764705882,-0.009803921568627527,0.009803921568627527
L2SP_lam0p001,2026-05-25T12:40:54.174548,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_world_history,False,0.7721518987341772,0.016877637130801704,-0.016877637130801704
L2SP_lam0p001,2026-05-25T12:40:54.175250,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,human_aging,True,0.695067264573991,-0.053811659192825156,0.053811659192825156
L2SP_lam0p001,2026-05-25T12:40:54.175942,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,human_sexuality,False,0.816793893129771,-0.030534351145038108,0.030534351145038108
L2SP_lam0p001,2026-05-25T12:40:54.176636,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,international_law,False,0.8512396694214877,-0.024793388429751984,0.024793388429751984
L2SP_lam0p001,2026-05-25T12:40:54.177324,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,jurisprudence,False,0.7777777777777778,-0.07407407407407407,0.07407407407407407
L2SP_lam0p001,2026-05-25T12:40:54.178025,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,logical_fallacies,False,0.7914110429447853,-0.06134969325153372,0.06134969325153372
L2SP_lam0p001,2026-05-25T12:40:54.178716,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,machine_learning,False,0.6071428571428571,-0.1071428571428572,0.1071428571428572
L2SP_lam0p001,2026-05-25T12:40:54.179396,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,management,False,0.8543689320388349,-0.04854368932038844,0.04854368932038844
L2SP_lam0p001,2026-05-25T12:40:54.180091,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,marketing,False,0.8888888888888888,-0.02991452991452992,0.02991452991452992
L2SP_lam0p001,2026-05-25T12:40:54.180784,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,medical_genetics,True,0.83,-0.010000000000000009,0.010000000000000009
L2SP_lam0p001,2026-05-25T12:40:54.181462,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,miscellaneous,False,0.8748403575989783,-0.008939974457215838,0.008939974457215838
L2SP_lam0p001,2026-05-25T12:40:54.182160,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,moral_disputes,False,0.708092485549133,-0.09826589595375723,0.09826589595375723
L2SP_lam0p001,2026-05-25T12:40:54.182855,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,moral_scenarios,False,0.4480446927374302,-0.09608938547486034,0.09608938547486034
L2SP_lam0p001,2026-05-25T12:40:54.183534,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,nutrition,False,0.8104575163398693,-0.0490196078431373,0.0490196078431373
L2SP_lam0p001,2026-05-25T12:40:54.184222,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,philosophy,False,0.7106109324758842,-0.090032154340836,0.090032154340836
L2SP_lam0p001,2026-05-25T12:40:54.184919,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,prehistory,False,0.8024691358024691,-0.030864197530864224,0.030864197530864224
L2SP_lam0p001,2026-05-25T12:40:54.185604,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_accounting,False,0.5638297872340425,-0.1063829787234043,0.1063829787234043
L2SP_lam0p001,2026-05-25T12:40:54.186291,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_law,False,0.5221642764015645,-0.05084745762711873,0.05084745762711873
L2SP_lam0p001,2026-05-25T12:40:54.186983,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_medicine,True,0.8713235294117647,-0.014705882352941124,0.014705882352941124
L2SP_lam0p001,2026-05-25T12:40:54.187671,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_psychology,False,0.7761437908496732,-0.039215686274509776,0.039215686274509776
L2SP_lam0p001,2026-05-25T12:40:54.188361,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,public_relations,False,0.6454545454545455,-0.045454545454545414,0.045454545454545414
L2SP_lam0p001,2026-05-25T12:40:54.189053,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,security_studies,False,0.7387755102040816,-0.020408163265306145,0.020408163265306145
L2SP_lam0p001,2026-05-25T12:40:54.189745,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,sociology,False,0.8606965174129353,-0.01990049751243783,0.01990049751243783
L2SP_lam0p001,2026-05-25T12:40:54.190424,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,us_foreign_policy,False,0.9,-0.030000000000000027,0.030000000000000027
L2SP_lam0p001,2026-05-25T12:40:54.191118,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,virology,True,0.5481927710843374,0.030120481927710885,-0.030120481927710885
L2SP_lam0p001,2026-05-25T12:40:54.191806,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,world_religions,False,0.8654970760233918,-0.040935672514619936,0.040935672514619936
L2SP_lam0p01,2026-05-25T13:10:18.233291,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,abstract_algebra,False,0.54,-0.05999999999999994,0.05999999999999994
L2SP_lam0p01,2026-05-25T13:10:18.234917,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,anatomy,True,0.7481481481481481,-0.014814814814814836,0.014814814814814836
L2SP_lam0p01,2026-05-25T13:10:18.235703,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,astronomy,False,0.881578947368421,-0.03947368421052633,0.03947368421052633
L2SP_lam0p01,2026-05-25T13:10:18.236456,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,business_ethics,False,0.82,0.0,-0.0
L2SP_lam0p01,2026-05-25T13:10:18.237215,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,clinical_knowledge,True,0.8528301886792453,0.0,-0.0
L2SP_lam0p01,2026-05-25T13:10:18.237967,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_biology,True,0.8958333333333334,-0.02777777777777779,0.02777777777777779
L2SP_lam0p01,2026-05-25T13:10:18.238835,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_chemistry,True,0.62,0.050000000000000044,-0.050000000000000044
L2SP_lam0p01,2026-05-25T13:10:18.239572,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_computer_science,False,0.73,0.010000000000000009,-0.010000000000000009
L2SP_lam0p01,2026-05-25T13:10:18.240328,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_mathematics,False,0.56,-0.05999999999999994,0.05999999999999994
L2SP_lam0p01,2026-05-25T13:10:18.241053,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_medicine,True,0.7456647398843931,-0.01734104046242768,0.01734104046242768
L2SP_lam0p01,2026-05-25T13:10:18.241785,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,college_physics,False,0.6568627450980392,-0.039215686274509776,0.039215686274509776
L2SP_lam0p01,2026-05-25T13:10:18.242495,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,computer_security,False,0.8,-0.029999999999999916,0.029999999999999916
L2SP_lam0p01,2026-05-25T13:10:18.243222,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,conceptual_physics,False,0.851063829787234,-0.017021276595744705,0.017021276595744705
L2SP_lam0p01,2026-05-25T13:10:18.243944,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,econometrics,False,0.6578947368421053,-0.01754385964912275,0.01754385964912275
L2SP_lam0p01,2026-05-25T13:10:18.244664,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,electrical_engineering,False,0.7586206896551724,-0.06896551724137934,0.06896551724137934
L2SP_lam0p01,2026-05-25T13:10:18.245375,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,elementary_mathematics,False,0.7116402116402116,0.007936507936507908,-0.007936507936507908
L2SP_lam0p01,2026-05-25T13:10:18.246095,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,formal_logic,False,0.6349206349206349,-0.04761904761904767,0.04761904761904767
L2SP_lam0p01,2026-05-25T13:10:18.246812,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,global_facts,False,0.42,-0.10000000000000003,0.10000000000000003
L2SP_lam0p01,2026-05-25T13:10:18.247517,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_biology,False,0.9354838709677419,0.003225806451612856,-0.003225806451612856
L2SP_lam0p01,2026-05-25T13:10:18.248237,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_chemistry,False,0.7586206896551724,-0.029556650246305494,0.029556650246305494
L2SP_lam0p01,2026-05-25T13:10:18.248978,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_computer_science,False,0.82,-0.020000000000000018,0.020000000000000018
L2SP_lam0p01,2026-05-25T13:10:18.249699,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_european_history,False,0.7212121212121212,0.006060606060605989,-0.006060606060605989
L2SP_lam0p01,2026-05-25T13:10:18.250409,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_geography,False,0.898989898989899,0.010101010101010166,-0.010101010101010166
L2SP_lam0p01,2026-05-25T13:10:18.251146,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_government_and_politics,False,0.917098445595855,-0.031088082901554404,0.031088082901554404
L2SP_lam0p01,2026-05-25T13:10:18.251865,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_macroeconomics,False,0.8256410256410256,-0.02564102564102566,0.02564102564102566
L2SP_lam0p01,2026-05-25T13:10:18.252569,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_mathematics,False,0.5111111111111111,-0.040740740740740744,0.040740740740740744
L2SP_lam0p01,2026-05-25T13:10:18.253283,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_microeconomics,False,0.8823529411764706,-0.050420168067226934,0.050420168067226934
L2SP_lam0p01,2026-05-25T13:10:18.253997,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_physics,False,0.7218543046357616,0.026490066225165587,-0.026490066225165587
L2SP_lam0p01,2026-05-25T13:10:18.254709,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_psychology,False,0.9192660550458716,-0.014678899082568808,0.014678899082568808
L2SP_lam0p01,2026-05-25T13:10:18.255406,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_statistics,False,0.7361111111111112,-0.02777777777777768,0.02777777777777768
L2SP_lam0p01,2026-05-25T13:10:18.256119,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_us_history,False,0.8529411764705882,-0.009803921568627527,0.009803921568627527
L2SP_lam0p01,2026-05-25T13:10:18.256828,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,high_school_world_history,False,0.7510548523206751,-0.00421940928270037,0.00421940928270037
L2SP_lam0p01,2026-05-25T13:10:18.257529,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,human_aging,True,0.757847533632287,0.008968609865470767,-0.008968609865470767
L2SP_lam0p01,2026-05-25T13:10:18.258241,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,human_sexuality,False,0.8015267175572519,-0.04580152671755722,0.04580152671755722
L2SP_lam0p01,2026-05-25T13:10:18.258954,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,international_law,False,0.859504132231405,-0.016528925619834656,0.016528925619834656
L2SP_lam0p01,2026-05-25T13:10:18.259666,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,jurisprudence,False,0.8518518518518519,0.0,-0.0
L2SP_lam0p01,2026-05-25T13:10:18.260365,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,logical_fallacies,False,0.803680981595092,-0.04907975460122693,0.04907975460122693
L2SP_lam0p01,2026-05-25T13:10:18.261078,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,machine_learning,False,0.6517857142857143,-0.0625,0.0625
L2SP_lam0p01,2026-05-25T13:10:18.261792,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,management,False,0.8737864077669902,-0.029126213592233108,0.029126213592233108
L2SP_lam0p01,2026-05-25T13:10:18.262491,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,marketing,False,0.9145299145299145,-0.004273504273504258,0.004273504273504258
L2SP_lam0p01,2026-05-25T13:10:18.263204,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,medical_genetics,True,0.84,0.0,-0.0
L2SP_lam0p01,2026-05-25T13:10:18.263914,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,miscellaneous,False,0.876117496807152,-0.007662835249042099,0.007662835249042099
L2SP_lam0p01,2026-05-25T13:10:18.264621,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,moral_disputes,False,0.7398843930635838,-0.06647398843930641,0.06647398843930641
L2SP_lam0p01,2026-05-25T13:10:18.265324,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,moral_scenarios,False,0.5039106145251396,-0.04022346368715091,0.04022346368715091
L2SP_lam0p01,2026-05-25T13:10:18.266038,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,nutrition,False,0.826797385620915,-0.03267973856209161,0.03267973856209161
L2SP_lam0p01,2026-05-25T13:10:18.266768,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,philosophy,False,0.7845659163987139,-0.01607717041800638,0.01607717041800638
L2SP_lam0p01,2026-05-25T13:10:18.267489,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,prehistory,False,0.8333333333333334,0.0,-0.0
L2SP_lam0p01,2026-05-25T13:10:18.268220,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_accounting,False,0.6418439716312057,-0.028368794326241176,0.028368794326241176
L2SP_lam0p01,2026-05-25T13:10:18.268954,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_law,False,0.5084745762711864,-0.0645371577574968,0.0645371577574968
L2SP_lam0p01,2026-05-25T13:10:18.269686,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_medicine,True,0.8125,-0.07352941176470584,0.07352941176470584
L2SP_lam0p01,2026-05-25T13:10:18.270407,Qwen/Qwen3.5-9B,medqa_l2sp,16,500,0,42,professional_psychology,False,0.7826797385620915,-0.0326797385620915,0.0326797385620915
